ID,Crop_Type,Growth_Stage,Soil_Moisture_pct,Temperature_C,Humidity_pct,Rainfall_7day_mm,Soil_pH,Solar_Radiation_MJm2,Water_Requirement_mm,Irrigate
28,Cotton,Seedling,47.16,26.32,67.94,41.82,8.3,14.09,15.16,No
29,Soybean,Vegetative,25.94,18.53,71.96,36.58,8.29,28.71,30.54,Yes
30,Rice,Seedling,42.26,28.66,38.61,27.92,5.71,14.89,41.52,Yes
31,Sugarcane,Vegetative,36.29,29.67,49.66,78.71,7.92,20.58,46.53,Yes
32,Rice,Vegetative,25.87,39.02,78.26,12.44,6.35,14.21,90.59,Yes
33,Soybean,Vegetative,51.25,38.03,62.85,20.09,8.22,11.02,37.7,Yes
34,Wheat,Seedling,30.01,18.53,93.69,12.93,6.83,24.11,6.09,No
35,Wheat,Seedling,14.51,38.84,88.76,43.65,8.0,21.65,19.06,No
36,Sugarcane,Flowering,63.94,36.5,85.95,71.91,6.13,14.99,67.53,Yes
37,Rice,Flowering,56.81,38.87,56.41,49.65,5.96,28.6,98.5,Yes
38,Maize,Maturation,11.49,34.89,51.59,74.47,7.91,27.28,17.18,No
39,Cotton,Flowering,19.55,33.93,54.87,3.1,6.91,13.99,97.47,Yes
40,Cotton,Vegetative,11.42,20.21,51.34,69.15,8.4,15.58,33.96,Yes
41,Tomato,Flowering,66.35,18.11,93.08,14.29,8.39,15.31,48.33,Yes
42,Soybean,Maturation,46.37,28.81,55.04,46.13,6.26,24.18,16.2,No
43,Wheat,Vegetative,31.85,16.89,73.18,26.42,6.44,26.96,22.11,No
44,Sugarcane,Maturation,29.57,33.82,66.04,15.35,7.49,17.58,64.16,Yes
45,Maize,Flowering,34.36,37.51,49.75,16.81,7.86,22.13,71.48,Yes
46,Cotton,Maturation,57.62,40.92,77.84,52.71,6.35,23.28,27.57,Yes
47,Soybean,Seedling,59.11,35.28,73.73,17.97,6.1,10.49,15.65,No
48,Rice,Maturation,34.87,32.0,42.64,55.71,6.98,14.88,53.81,Yes
49,Wheat,Seedling,56.71,20.91,82.27,55.67,6.89,21.15,0,No
50,Maize,Maturation,50.05,41.67,68.7,76.0,8.17,22.25,9.25,No
51,Tomato,Maturation,63.83,35.08,60.85,20.74,6.24,22.75,32.4,Yes
52,Cotton,Flowering,36.39,34.27,45.24,26.87,8.18,11.61,74.52,Yes
53,Maize,Vegetative,32.98,19.13,43.91,33.19,6.49,19.32,40.18,Yes
54,Tomato,Seedling,61.4,35.67,54.72,0.47,6.56,25.07,34.7,Yes
55,Tomato,Vegetative,39.29,22.37,61.57,31.11,7.51,25.96,37.46,Yes
56,Maize,Seedling,64.42,30.98,73.09,6.72,6.79,27.34,13.02,No
57,Maize,Seedling,25.61,23.84,59.56,27.0,8.14,15.57,23.39,No
58,Rice,Maturation,11.16,29.56,94.99,28.0,7.45,25.62,62.99,Yes
59,Wheat,Seedling,66.98,20.38,31.32,12.19,5.88,23.39,4.78,No
60,Sugarcane,Flowering,20.07,31.4,78.62,9.16,7.96,29.29,111.4,Yes
61,Rice,Seedling,65.73,30.55,89.02,30.02,8.32,13.97,20.05,No
62,Cotton,Seedling,51.83,23.14,74.48,64.44,7.89,21.32,0,No
63,Wheat,Flowering,41.96,32.86,34.48,51.8,5.54,18.4,34.74,Yes
64,Soybean,Maturation,52.44,26.76,77.7,77.24,6.31,26.16,0,No
65,Potato,Maturation,36.13,34.74,47.45,68.14,7.99,11.73,18.8,No
66,Potato,Maturation,30.18,28.35,51.13,39.0,6.56,15.17,26.92,Yes
67,Sugarcane,Flowering,43.35,28.95,42.42,19.31,6.72,21.1,101.51,Yes
68,Potato,Maturation,57.58,17.51,44.4,55.34,6.42,21.63,5.05,No
69,Potato,Flowering,35.53,35.14,51.5,56.23,6.31,15.03,51.98,Yes
70,Rice,Vegetative,21.49,34.94,47.97,47.17,7.78,21.94,80.92,Yes
71,Rice,Vegetative,27.77,24.74,49.65,56.64,5.88,10.91,66.27,Yes
72,Maize,Maturation,16.16,15.33,48.48,38.3,6.52,29.31,25.22,Yes
73,Sugarcane,Maturation,16.85,16.76,61.96,46.16,7.56,13.03,46.04,Yes
74,Rice,Vegetative,17.11,35.64,69.41,63.26,6.18,20.45,63.84,Yes
75,Potato,Maturation,27.84,30.89,57.87,45.49,5.68,29.2,31.28,Yes
76,Cotton,Flowering,49.63,19.24,41.3,6.01,5.51,19.01,74.81,Yes
77,Potato,Flowering,11.96,22.78,48.38,68.77,5.71,14.67,43.81,Yes
78,Cotton,Maturation,16.89,21.07,39.68,21.25,5.93,11.19,51.81,Yes
79,Sugarcane,Flowering,36.35,27.65,49.77,32.2,6.32,20.8,91.77,Yes
80,Tomato,Flowering,46.22,15.7,44.88,53.94,8.08,21.74,40.91,Yes
81,Wheat,Flowering,44.57,35.6,41.39,41.52,6.83,15.56,46.39,Yes
82,Potato,Seedling,38.2,26.03,50.87,8.37,5.98,18.23,27.67,Yes
83,Potato,Flowering,49.76,25.81,79.43,2.94,5.76,15.05,63.71,Yes
84,Wheat,Maturation,34.79,20.06,53.52,60.52,7.38,25.2,4.28,No
85,Cotton,Flowering,42.95,40.05,58.48,55.86,5.86,29.46,61.94,Yes
86,Maize,Flowering,43.05,29.91,36.06,79.38,8.24,19.23,32.71,Yes
87,Rice,Vegetative,39.9,34.35,63.08,21.87,8.0,29.6,82.27,Yes
88,Tomato,Vegetative,65.31,28.72,87.16,69.12,6.33,25.8,14.01,No
89,Tomato,Flowering,66.05,28.71,83.34,22.63,6.4,21.74,55.21,Yes
90,Maize,Maturation,42.31,24.32,65.87,43.47,6.87,16.44,15.89,No
91,Cotton,Vegetative,44.31,21.31,80.41,3.49,7.73,24.1,52.63,Yes
92,Maize,Maturation,67.89,18.41,92.75,26.56,5.8,26.9,2.63,No
93,Rice,Maturation,10.92,18.89,86.61,77.6,5.72,25.63,31.56,Yes
94,Tomato,Seedling,61.11,38.01,85.86,30.4,6.45,24.37,19.06,No
95,Potato,Seedling,47.05,21.34,74.49,22.99,6.18,11.81,14.61,No
96,Rice,Maturation,19.98,23.09,31.88,25.95,5.67,17.17,65.03,Yes
97,Tomato,Vegetative,24.65,26.13,74.32,14.4,6.03,22.19,50.33,Yes
98,Potato,Vegetative,23.93,32.22,59.87,53.35,8.2,19.31,39.61,Yes
99,Sugarcane,Vegetative,14.43,40.52,94.2,23.93,8.39,23.81,84.1,Yes
100,Tomato,Maturation,16.4,25.3,53.33,23.67,7.6,10.44,43.53,Yes
101,Tomato,Flowering,10.49,38.36,80.59,77.89,8.23,24.9,57.68,Yes
102,Cotton,Flowering,23.14,20.13,46.29,60.45,7.8,23.62,49.56,Yes
103,Maize,Seedling,64.2,32.45,50.08,35.27,7.24,24.65,11.25,No
104,Tomato,Vegetative,22.05,36.24,86.97,29.27,7.01,15.45,54.84,Yes
105,Maize,Flowering,64.84,40.49,92.88,23.61,8.11,26.08,52.06,Yes
106,Cotton,Maturation,68.04,36.72,53.78,63.25,5.54,20.73,15.7,No
107,Potato,Flowering,50.37,33.15,68.0,65.79,8.32,12.17,35.85,Yes
108,Soybean,Vegetative,48.86,32.16,60.18,56.09,7.45,12.33,20.78,No
109,Wheat,Seedling,28.26,28.3,36.32,70.98,5.91,19.07,0,No
110,Tomato,Vegetative,63.12,32.68,84.19,49.25,8.32,15.59,20.3,No
111,Soybean,Vegetative,36.6,40.66,85.6,7.95,7.56,20.89,54.87,Yes
112,Tomato,Flowering,21.39,18.3,85.12,36.38,7.49,22.83,53.73,Yes
113,Wheat,Seedling,57.21,21.58,38.19,45.17,5.71,25.3,0,No
114,Cotton,Flowering,56.46,36.29,68.74,22.18,8.45,29.75,72.56,Yes
115,Sugarcane,Vegetative,16.6,38.39,38.57,28.66,7.87,21.78,92.3,Yes
116,Maize,Maturation,41.57,35.13,60.96,62.24,7.04,12.18,16.45,No
117,Cotton,Seedling,53.63,39.54,72.83,24.13,7.43,10.62,33.01,Yes
118,Tomato,Seedling,39.42,39.56,34.78,6.46,7.32,11.31,44.38,Yes
119,Sugarcane,Flowering,32.85,31.13,49.17,40.44,6.79,25.86,98.96,Yes
120,Cotton,Maturation,37.09,21.17,52.03,36.28,6.75,11.9,32.04,Yes
121,Tomato,Flowering,49.91,25.11,39.92,73.84,5.7,26.64,37.34,Yes
122,Soybean,Vegetative,43.38,30.83,66.5,26.37,5.87,17.07,35.9,Yes
123,Tomato,Seedling,68.1,31.21,52.86,46.23,6.14,23.13,3.92,No
124,Soybean,Seedling,55.76,30.5,82.47,67.61,8.42,26.37,0,No
125,Wheat,Flowering,11.74,22.38,79.56,73.72,6.55,13.63,26.64,Yes
126,Rice,Vegetative,54.46,41.24,35.96,42.44,6.63,19.07,79.03,Yes
127,Maize,Flowering,28.7,23.76,91.19,47.7,8.15,13.11,42.53,Yes
128,Rice,Flowering,36.59,26.45,69.46,33.13,6.15,20.25,96.58,Yes
129,Soybean,Maturation,16.65,33.31,68.55,42.15,6.43,14.41,30.63,Yes
130,Cotton,Flowering,66.72,35.72,79.67,23.16,5.86,19.95,63.76,Yes
131,Tomato,Vegetative,17.75,29.38,44.96,44.7,7.5,17.08,44.37,Yes
132,Tomato,Seedling,37.59,17.1,50.35,34.34,6.71,22.8,13.9,No
133,Sugarcane,Seedling,34.3,41.09,41.17,75.81,6.88,23.79,24.99,No
134,Rice,Vegetative,36.14,25.81,35.11,69.64,7.74,14.43,59.56,Yes
135,Maize,Seedling,40.63,18.08,63.15,72.47,6.55,24.55,0,No
136,Cotton,Seedling,18.79,20.33,69.16,60.82,7.47,13.54,2.96,No
137,Potato,Maturation,55.27,35.52,59.18,73.93,7.19,22.71,1.21,No
138,Soybean,Vegetative,36.39,27.66,71.04,63.71,7.27,17.04,11.83,No
139,Rice,Flowering,37.7,16.02,53.97,22.97,7.43,29.55,99.55,Yes
140,Tomato,Maturation,44.82,40.76,78.03,3.28,8.23,21.43,52.5,Yes
141,Cotton,Flowering,46.3,28.54,92.25,36.04,7.93,26.75,59.21,Yes
142,Maize,Seedling,24.86,26.82,58.56,41.82,5.98,17.46,15.68,No
143,Sugarcane,Maturation,34.53,24.14,68.86,63.14,7.44,11.32,36.35,Yes
144,Sugarcane,Flowering,53.42,32.73,88.91,69.86,6.5,21.65,70.58,Yes
145,Maize,Flowering,28.61,32.71,73.04,10.32,7.63,11.69,67.09,Yes
146,Soybean,Vegetative,50.21,37.38,78.02,54.83,7.08,22.92,20.14,No
147,Tomato,Flowering,11.09,23.34,91.83,27.34,7.8,13.84,67.53,Yes
148,Sugarcane,Seedling,40.46,29.57,78.01,42.12,7.49,27.53,26.71,Yes
149,Maize,Maturation,19.26,19.88,75.03,49.98,8.21,24.42,19.7,No
150,Cotton,Maturation,46.64,35.31,80.95,18.72,6.22,29.31,41.86,Yes
151,Potato,Vegetative,32.07,40.57,93.99,36.93,6.35,17.64,35.37,Yes
152,Cotton,Vegetative,62.38,16.41,61.24,29.7,8.3,24.23,28.8,Yes
153,Rice,Flowering,15.03,19.33,59.21,41.07,7.99,11.83,102.71,Yes
154,Soybean,Seedling,34.89,25.7,54.31,30.89,5.74,14.49,11.07,No
155,Soybean,Seedling,60.35,32.55,81.44,11.01,6.36,26.6,14.63,No
156,Potato,Maturation,46.92,39.46,31.24,17.25,5.95,28.8,42.94,Yes
157,Tomato,Seedling,56.57,21.42,37.92,19.08,7.42,22.46,21.55,No
158,Potato,Seedling,47.92,30.53,76.71,23.3,5.5,17.06,18.3,No
159,Tomato,Vegetative,49.86,17.31,93.35,5.41,7.08,20.15,42.0,Yes
160,Tomato,Maturation,12.61,25.45,54.26,59.79,6.57,11.35,26.0,Yes
161,Cotton,Seedling,56.29,34.85,51.61,3.55,7.14,26.27,38.21,Yes
162,Potato,Maturation,47.9,36.91,34.1,62.1,6.87,15.87,23.85,No
163,Wheat,Vegetative,63.15,23.52,50.15,31.86,7.95,19.47,20.32,No
164,Sugarcane,Flowering,61.73,16.29,72.62,21.86,7.9,18.74,79.0,Yes
165,Tomato,Maturation,63.68,25.44,93.29,39.7,6.99,28.49,4.68,No
166,Tomato,Seedling,35.84,41.87,41.73,23.5,5.81,16.56,37.5,Yes
167,Sugarcane,Flowering,36.75,34.38,40.83,35.51,6.84,24.54,103.95,Yes
168,Tomato,Flowering,48.37,36.37,33.73,53.69,6.72,20.26,54.66,Yes
169,Maize,Seedling,18.57,31.4,80.79,2.78,5.7,25.57,36.22,Yes
170,Wheat,Vegetative,50.74,40.62,54.18,61.05,7.22,20.59,21.74,No
171,Tomato,Flowering,48.97,21.74,37.37,58.85,7.0,17.74,39.61,Yes
172,Sugarcane,Maturation,22.87,31.52,75.11,79.89,6.1,12.71,32.97,Yes
173,Rice,Maturation,20.36,34.26,94.82,64.84,8.4,29.73,43.29,Yes
174,Sugarcane,Flowering,61.08,34.22,90.28,51.02,7.88,20.18,71.29,Yes
175,Rice,Vegetative,57.52,21.39,62.11,28.87,7.22,19.35,62.93,Yes
176,Rice,Seedling,28.56,41.99,76.73,42.06,7.81,26.47,44.46,Yes
177,Rice,Vegetative,68.34,32.34,59.25,54.41,6.53,27.56,54.25,Yes
178,Maize,Vegetative,35.96,39.59,33.6,9.93,5.96,13.29,59.07,Yes
179,Soybean,Vegetative,30.76,40.4,88.17,67.67,6.25,22.7,22.48,No
180,Sugarcane,Seedling,40.15,19.55,91.2,12.34,7.48,24.41,31.24,Yes
181,Soybean,Seedling,59.51,15.77,32.96,51.32,7.23,23.02,0,No
182,Wheat,Maturation,63.34,29.73,71.72,24.17,6.23,26.15,9.51,No
183,Tomato,Flowering,37.21,33.59,40.28,33.25,6.89,16.8,72.02,Yes
184,Soybean,Flowering,68.52,18.53,54.09,44.93,6.46,19.33,27.52,Yes
185,Sugarcane,Maturation,24.88,17.61,48.86,30.73,7.35,14.97,51.61,Yes
186,Soybean,Flowering,21.39,19.3,94.74,37.35,8.14,19.95,38.67,Yes
187,Rice,Maturation,40.33,41.1,43.98,28.23,5.65,19.9,72.27,Yes
188,Potato,Flowering,42.2,37.87,58.01,70.6,7.68,25.28,38.97,Yes
189,Soybean,Seedling,34.03,30.4,42.65,44.26,5.72,20.09,13.4,No
190,Rice,Vegetative,68.5,25.64,81.67,27.13,8.32,25.1,55.88,Yes
191,Cotton,Maturation,40.0,16.22,38.91,26.64,6.92,19.14,27.98,Yes
192,Soybean,Flowering,19.75,41.75,78.06,23.94,6.51,26.57,65.58,Yes
193,Potato,Flowering,38.49,15.45,51.53,8.77,6.75,16.15,62.24,Yes
194,Wheat,Maturation,25.93,32.7,93.18,46.28,6.18,11.03,12.06,No
195,Potato,Vegetative,41.45,34.47,80.35,30.42,7.96,14.84,35.55,Yes
196,Cotton,Seedling,36.46,26.31,56.84,16.31,7.01,22.23,27.73,Yes
197,Potato,Seedling,52.35,29.0,66.46,79.85,6.94,17.54,0,No
198,Soybean,Flowering,50.55,38.43,74.25,64.29,6.29,19.68,32.35,Yes
199,Cotton,Flowering,43.49,21.07,93.24,23.81,6.37,14.15,58.34,Yes
200,Soybean,Flowering,27.27,30.48,65.31,71.66,6.68,16.9,31.33,Yes
201,Maize,Flowering,12.52,40.79,35.14,73.92,7.47,24.95,59.16,Yes
202,Sugarcane,Flowering,18.24,31.62,68.14,19.4,7.51,20.62,115.06,Yes
203,Cotton,Seedling,16.01,23.92,60.71,54.5,5.91,29.29,18.12,No
204,Potato,Maturation,49.03,35.41,48.67,22.83,5.68,25.37,34.76,Yes
205,Cotton,Seedling,64.79,19.73,87.35,14.06,8.26,29.94,6.94,No
206,Sugarcane,Seedling,10.56,30.33,36.97,78.64,6.35,29.78,29.29,Yes
207,Potato,Vegetative,61.06,27.64,42.53,9.01,5.99,19.18,42.72,Yes
208,Soybean,Flowering,44.07,35.45,41.41,68.49,8.19,26.54,38.2,Yes
209,Soybean,Seedling,34.05,17.58,93.81,38.2,8.31,10.14,0,No
210,Sugarcane,Flowering,28.12,34.52,30.74,52.29,7.58,11.24,99.29,Yes
211,Rice,Maturation,28.41,25.95,62.66,71.61,7.61,16.22,42.13,Yes
212,Sugarcane,Flowering,46.88,20.92,38.68,12.25,7.74,22.11,102.05,Yes
213,Tomato,Maturation,55.44,36.65,83.66,60.95,7.54,21.92,13.97,No
214,Soybean,Seedling,65.03,18.03,83.87,72.23,6.11,20.73,0,No
215,Maize,Flowering,61.27,26.93,74.22,57.35,6.97,27.98,28.77,Yes
216,Maize,Maturation,37.41,16.56,60.05,64.55,7.67,17.92,2.34,No
217,Wheat,Vegetative,44.7,16.22,52.39,5.1,8.48,28.69,37.03,Yes
218,Wheat,Flowering,34.53,35.76,79.78,78.27,7.44,18.41,26.13,Yes
219,Tomato,Maturation,62.18,39.48,54.42,54.62,7.49,20.79,18.66,No
220,Maize,Maturation,41.73,34.65,44.47,0.28,5.57,15.97,46.94,Yes
221,Tomato,Maturation,59.4,21.68,52.5,22.05,8.31,24.5,27.83,Yes
222,Tomato,Seedling,24.44,16.82,68.61,35.72,7.52,27.44,16.09,No
223,Cotton,Seedling,34.14,21.33,44.12,69.1,5.67,20.08,0.89,No
224,Soybean,Flowering,24.21,38.66,94.07,41.7,6.74,15.5,57.63,Yes
225,Maize,Maturation,43.35,16.27,52.39,51.47,6.64,20.49,6.07,No
226,Sugarcane,Maturation,21.03,29.52,45.66,18.03,8.07,12.89,65.44,Yes
227,Potato,Seedling,43.74,41.13,66.22,10.73,6.23,14.07,30.01,Yes
228,Soybean,Seedling,42.14,37.39,33.35,30.17,7.31,10.79,18.57,No
229,Rice,Vegetative,58.28,30.86,73.64,17.36,6.13,28.14,70.5,Yes
230,Cotton,Vegetative,67.72,18.17,94.97,38.31,6.23,22.09,26.25,Yes
231,Cotton,Maturation,64.91,29.91,80.41,30.45,7.1,17.19,23.42,No
232,Potato,Maturation,15.92,41.5,60.52,67.18,8.24,17.41,32.75,Yes
233,Tomato,Seedling,43.75,20.97,39.48,20.86,8.3,21.58,18.42,No
234,Soybean,Vegetative,32.79,37.5,62.45,52.37,7.55,15.15,33.19,Yes
235,Potato,Maturation,37.65,34.78,52.89,11.2,7.14,13.68,51.25,Yes
236,Wheat,Seedling,60.34,17.01,83.17,3.88,5.52,12.75,0,No
237,Cotton,Seedling,52.43,15.25,62.87,29.86,7.35,23.34,4.3,No
238,Potato,Seedling,10.4,29.89,30.77,42.35,6.32,29.55,25.66,Yes
239,Wheat,Maturation,58.37,39.56,36.96,7.71,5.95,13.84,30.46,Yes
240,Sugarcane,Maturation,14.74,40.9,59.83,19.46,7.59,16.0,76.21,Yes
241,Rice,Seedling,15.61,25.24,65.93,4.49,5.53,13.43,53.61,Yes
242,Soybean,Seedling,63.69,39.82,44.93,72.1,7.58,21.34,0,No
243,Sugarcane,Seedling,65.45,33.48,48.22,43.44,7.47,13.59,23.97,No
244,Cotton,Vegetative,55.14,34.24,55.89,6.15,5.99,14.81,59.45,Yes
245,Tomato,Flowering,33.03,34.97,81.38,55.14,5.74,24.91,53.22,Yes
246,Cotton,Seedling,30.44,35.76,92.07,31.74,7.82,10.59,27.87,Yes
247,Sugarcane,Maturation,39.44,24.61,91.17,34.55,7.54,23.21,45.54,Yes
248,Cotton,Seedling,14.92,19.16,76.26,50.71,7.72,16.33,14.7,No
249,Rice,Seedling,10.31,23.32,53.39,21.58,5.9,13.75,47.11,Yes
250,Tomato,Seedling,11.58,24.56,36.05,47.84,6.47,17.7,23.89,No
251,Sugarcane,Maturation,33.27,17.29,88.57,72.42,8.43,21.44,21.45,No
252,Maize,Flowering,28.07,28.31,34.11,34.77,6.76,19.68,63.99,Yes
253,Rice,Flowering,25.1,21.66,70.63,47.5,6.09,12.14,88.48,Yes
254,Soybean,Maturation,58.24,23.9,51.76,65.24,8.08,29.48,3.33,No
255,Maize,Flowering,29.24,40.58,43.06,25.13,8.39,29.37,73.05,Yes
256,Potato,Vegetative,29.55,22.57,81.08,29.2,8.3,14.0,39.94,Yes
257,Maize,Seedling,67.18,27.46,76.04,35.08,6.37,23.86,2.39,No
258,Tomato,Maturation,18.35,23.18,46.42,12.33,6.77,17.54,42.22,Yes
259,Potato,Maturation,44.93,29.43,90.03,69.57,6.75,10.74,6.86,No
260,Rice,Seedling,56.14,32.76,53.08,51.76,5.63,29.67,23.99,No
261,Tomato,Flowering,67.94,26.62,30.69,20.7,7.03,20.38,54.73,Yes
262,Potato,Flowering,33.47,35.85,68.26,40.04,6.53,10.49,55.63,Yes
263,Rice,Flowering,34.96,40.97,37.54,75.25,5.93,16.24,91.57,Yes
264,Potato,Flowering,38.57,26.83,75.29,25.51,6.4,26.2,55.05,Yes
265,Rice,Seedling,60.95,32.5,74.01,13.15,8.45,14.88,39.75,Yes
266,Tomato,Maturation,23.91,25.94,41.99,51.24,6.8,10.58,29.85,Yes
267,Cotton,Maturation,45.53,25.5,75.81,16.46,7.76,26.17,36.87,Yes
268,Maize,Flowering,29.56,27.35,47.05,69.01,7.08,22.78,41.53,Yes
269,Tomato,Maturation,45.22,24.39,84.96,49.39,7.94,24.12,11.77,No
270,Rice,Vegetative,28.79,21.44,37.6,29.86,5.92,17.77,80.03,Yes
271,Maize,Maturation,35.38,28.14,64.93,73.53,8.29,13.46,8.09,No
272,Maize,Flowering,60.52,31.72,86.26,76.15,6.95,13.9,24.8,No
273,Tomato,Maturation,34.55,28.28,76.16,35.51,6.0,21.31,29.23,Yes
274,Wheat,Flowering,23.49,22.79,80.75,45.25,7.82,19.91,31.57,Yes
275,Rice,Seedling,26.07,29.66,94.41,43.36,7.77,25.2,30.49,Yes
276,Tomato,Seedling,54.16,32.65,46.09,69.98,5.6,15.26,0.31,No
277,Rice,Maturation,61.92,18.17,82.77,16.79,7.71,23.78,44.6,Yes
278,Tomato,Vegetative,46.97,36.19,82.88,64.44,7.21,20.65,23.36,No
279,Maize,Flowering,68.74,22.9,67.23,76.19,7.04,28.0,15.79,No
280,Tomato,Seedling,69.55,38.41,38.25,69.29,6.25,24.23,0,No
281,Cotton,Maturation,39.37,30.59,47.47,33.14,6.86,22.67,39.0,Yes
282,Sugarcane,Flowering,37.28,28.18,67.83,69.51,8.04,11.86,73.3,Yes
283,Potato,Flowering,61.01,36.48,55.85,77.45,7.97,19.89,29.09,Yes
284,Maize,Maturation,57.3,39.14,79.55,3.68,7.38,26.73,41.82,Yes
285,Wheat,Seedling,65.77,19.27,59.67,79.35,6.78,29.91,0,No
286,Sugarcane,Vegetative,62.47,38.67,36.07,28.83,5.75,23.29,68.78,Yes
287,Maize,Seedling,33.78,23.25,75.46,18.73,7.47,24.07,21.82,No
288,Maize,Vegetative,41.17,27.02,30.52,27.49,5.86,27.21,42.85,Yes
289,Maize,Maturation,14.25,25.34,77.5,8.19,6.44,27.62,47.22,Yes
290,Maize,Vegetative,14.1,30.21,69.67,13.13,6.55,14.26,61.44,Yes
291,Maize,Maturation,46.96,26.94,44.12,71.73,5.92,12.46,4.94,No
292,Tomato,Flowering,57.46,21.69,71.9,19.85,7.3,24.42,49.89,Yes
293,Sugarcane,Seedling,60.87,32.78,49.61,41.42,7.03,24.96,25.44,Yes
294,Cotton,Maturation,33.15,21.51,71.48,5.68,8.17,10.24,44.35,Yes
295,Soybean,Flowering,17.92,38.24,66.94,29.23,7.55,25.25,69.7,Yes
296,Wheat,Seedling,10.83,20.83,89.97,75.89,6.69,15.73,0,No
297,Tomato,Maturation,52.11,17.23,64.88,49.28,6.33,16.2,5.55,No
298,Maize,Flowering,33.44,32.13,84.24,54.48,5.7,23.97,44.81,Yes
299,Cotton,Seedling,24.67,39.96,37.54,48.98,5.67,23.32,30.96,Yes
300,Wheat,Vegetative,52.09,19.42,91.95,41.84,7.85,24.42,4.43,No
301,Maize,Flowering,17.62,36.09,47.47,70.91,7.81,10.59,52.59,Yes
302,Rice,Flowering,52.74,30.57,35.01,36.42,6.58,19.99,95.66,Yes
303,Maize,Flowering,19.44,35.88,88.13,53.93,5.85,24.82,59.18,Yes
304,Wheat,Vegetative,12.76,24.83,89.81,14.32,8.38,10.71,40.22,Yes
305,Tomato,Vegetative,29.31,26.24,76.82,21.7,5.73,17.46,41.43,Yes
306,Maize,Vegetative,58.26,41.5,92.02,5.51,6.9,15.65,49.26,Yes
307,Sugarcane,Flowering,15.18,27.33,53.98,23.33,7.85,24.79,107.66,Yes
308,Potato,Vegetative,53.95,29.76,81.74,12.05,8.3,10.48,42.81,Yes
309,Soybean,Seedling,67.06,15.04,72.72,67.92,7.68,12.08,0,No
310,Potato,Seedling,68.35,18.84,48.19,3.51,6.19,26.91,12.34,No
311,Tomato,Flowering,37.51,35.19,67.75,40.43,7.41,17.89,60.87,Yes
312,Maize,Vegetative,27.5,37.97,90.19,31.44,8.0,16.53,45.54,Yes
313,Potato,Flowering,24.02,40.48,38.85,61.61,5.83,12.11,56.17,Yes
314,Rice,Flowering,67.88,20.61,50.04,21.2,5.86,13.15,90.04,Yes
315,Sugarcane,Seedling,22.9,38.13,39.64,56.89,8.41,17.92,41.36,Yes
316,Maize,Seedling,67.13,38.07,66.14,44.01,5.78,12.04,6.44,No
317,Maize,Seedling,10.72,37.42,93.87,10.46,7.97,17.44,37.39,Yes
318,Sugarcane,Seedling,11.31,16.74,88.66,35.47,5.89,28.1,26.68,Yes
